Logo, Description, Link, Description
.. Image:: http://www.gis.napier.govt.nz/geonetwork/images/logos/17689d3f-5a49-487e-93b7-d8c2f76c543d.gif,Napier City Council GeoNetwork, http://www.gis.napier.govt.nz/geonetwork, Napier City Council - New Zealand
,NCCH, http://www.saeonocean.co.za/geonetwork/srv/en/main.home, South Africa portal
,North Pacific Marine Science Organization, http://67.212.128.197/geonetwork/srv/en/main.home,
,One Geology, http://onegeology-catalog.brgm.fr/geonetwork/srv/en/main.home,
,PACIVUR, http://www.pacivur-geocatalogo.ird.fr/geonetwork/srv/en/main.home,
,Paikkatietohakemisto (Maanmittauslaitos),http://www.paikkatietohakemisto.fi:80/geonetwork/,
.. Image:: http://extranet.parcnational.fr/catalogue/images/harvesting/logo_pnx.png,Parcs Nationaux de France,http://extranet.parcnational.fr/catalogue/liste.html,
,PIGMA Plateforme D'information Géographique Mutualisée en Aquitaine,http://www.pigma.org/,
,Pilot kataloškog servera (Otišao),http://geoportal.nipp.hr/geonetwork,
,Pusat linkungan geologi, http://122.200.145.136/geonetwork/srv/en/main.home,
,Slovenski Inspire metadata sistem (admin),http://prostor3.gov.si:80/imps,
,SMIT - CENAPRED, http://smit.cenapred.gob.mx:8080/geonetwork/srv/en/main.home,
,South African Environmental Observation Network, http://www.saeonocean.co.za/geonetwork/srv/en/main.home,
,TABI, http://www.tabi.la/geonetwork/srv/en/main.home, The Agrobiodiversity Initiative
,"UK Location Catalogue Publishing Service (Ordnance Survey, GB)",http://csw.data.gov.uk/geonetwork,
.. Image:: http://www.unsdi.nl/images/UNSDI-NL-64x64.gif ,UNSDI-NCO, http://www.geonetwork.nl/, GeoNetwork portal of the Netherlands Coordination Office of UNSDI
,Volta Basin Authority, http://131.220.109.2/geonetwork/srv/en/main.home,
,WAGCOE, https://wagcoe.ivec.org/geonetwork/srv/en/main.home, 
.. Image:: http://www.webservice-energy.org/sites/www.webservice-energy.org/files/webservice-icon-texte-128.gif,Webservice-Energy Catalog provides worldwide information about Renewable Energy and Environment.,,
,WFP VAM-SIE Headquarters, http://vam.wfp.org/geonetwork, United Nations World Food Programme GeoNetwork
,WHO Headquarters, http://www.who.int/geonetwork, World Health Organization GIS Resources
,ΚΑΤΑΛΟΓΟΣ (Elena),http://www1.okxe.gr:80/geonetwork/,
,ΚΑΤΑΛΟΓΟΣ (Elena),http://www1.okxe.gr:80/geonetwork/,

